,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
225,,0.02031626666666667,0.09177923333333333,0.3243405,3.0187813333333335,11.899323333333335,,333.25464545454537,277.5644181818181,232.93570909090906,204.10489090909087,184.7268545454545,TEW,KS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
227,,0.2568338666666667,0.5703243333333333,1.1254613333333334,6.363390000000001,7.998173333333334,,212.00050909090905,193.72379999999995,177.02421818181816,175.61678181818178,232.4998363636363,BECCS,KY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
229,0.2834648666666667,0.4341296666666667,1.115103,2.8491466666666665,1.449426,5.209600000000001,372.24529090909084,357.9696272727272,334.9249363636363,309.88887272727266,287.5612090909091,268.2164454545454,DAC,KY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
231,,0.03285718333333334,0.14465806666666667,0.48075500000000004,4.123570000000001,11.446453333333334,,310.00033636363634,258.1231636363636,218.20420909090905,202.94034545454542,206.31419999999997,TEW,KY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
233,,0.3639434333333334,0.7676020000000001,1.4578703333333334,6.350006666666667,8.330886666666668,,212.00050909090905,193.72379999999995,177.02421818181816,187.4252727272727,247.2113727272727,BECCS,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
235,0.40587433333333334,0.6169533333333334,1.5234560000000001,3.699226666666667,1.7372666666666667,6.3743533333333335,371.7378818181818,357.79827272727266,334.15300909090905,309.78739090909085,288.7107818181818,270.2843454545454,DAC,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
237,0.038283666666666674,0.10478306666666667,0.3116234,0.752796,4.188653333333334,13.738120000000002,265.3466727272727,254.8241727272727,237.70535454545453,220.6547454545454,215.30781818181816,209.24552727272723,OEW,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
239,0.010192123333333334,0.0385297,0.15824893333333334,0.49866666666666676,3.7314566666666673,10.147756666666668,382.9075363636363,330.19355454545445,276.5878636363636,234.98031818181815,223.76574545454542,231.47669999999997,TEW,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
241,,0.02425184666666667,0.049479833333333334,0.08953303333333335,0.7735383333333334,3.309243666666667,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
243,0.010791770000000001,,0.0382679,0.06505473333333334,0.0751872,0.24472653333333336,432.62364545454534,,391.047709090909,376.9101272727272,351.82415454545446,352.1618727272727,DAC,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
245,,,,,0.2822592666666667,0.9949793333333333,,,,,226.3726636363636,220.64809090909085,OEW,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
247,,,,0.04481216666666667,0.4630156666666667,1.3410613333333334,,,,206.97799090909086,191.94370909090907,199.7511545454545,TEW,ME,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
249,,0.09661043333333334,0.1978636,0.3616305,2.938653666666667,6.367350000000001,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,181.66409999999996,BECCS,MD,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
