,Unnamed: 0,region,GCAM_region_ID,GCAM_commodity,GCAM_subsector,GLU,Irr_Rfd,kg_bio_ha,kg_P_ha,cat,Version
33,34,USA,1,FodderGrass,FodderGrass,GLU023,rfd,0.0,,GLU023_FodderGrass_USA,Upper CI
34,35,USA,1,FodderGrass,FodderGrass,GLU027,rfd,0.0,,GLU027_FodderGrass_USA,Lower CI
34,35,USA,1,FodderGrass,FodderGrass,GLU027,rfd,0.0,,GLU027_FodderGrass_USA,Median
34,35,USA,1,FodderGrass,FodderGrass,GLU027,rfd,0.0,,GLU027_FodderGrass_USA,Upper CI
35,36,USA,1,FodderGrass,FodderGrass,GLU096,rfd,0.0,,GLU096_FodderGrass_USA,Lower CI
35,36,USA,1,FodderGrass,FodderGrass,GLU096,rfd,0.0,,GLU096_FodderGrass_USA,Median
35,36,USA,1,FodderGrass,FodderGrass,GLU096,rfd,0.0,,GLU096_FodderGrass_USA,Upper CI
36,37,USA,1,FodderGrass,FodderGrass,GLU217,rfd,0.0,,GLU217_FodderGrass_USA,Lower CI
36,37,USA,1,FodderGrass,FodderGrass,GLU217,rfd,0.0,,GLU217_FodderGrass_USA,Median
36,37,USA,1,FodderGrass,FodderGrass,GLU217,rfd,0.0,,GLU217_FodderGrass_USA,Upper CI
37,38,USA,1,FodderGrass,FodderGrass,GLU218,rfd,0.0,,GLU218_FodderGrass_USA,Lower CI
37,38,USA,1,FodderGrass,FodderGrass,GLU218,rfd,0.0,,GLU218_FodderGrass_USA,Median
37,38,USA,1,FodderGrass,FodderGrass,GLU218,rfd,0.0,,GLU218_FodderGrass_USA,Upper CI
38,39,USA,1,FodderGrass,FodderGrass,GLU219,rfd,0.0,,GLU219_FodderGrass_USA,Lower CI
38,39,USA,1,FodderGrass,FodderGrass,GLU219,rfd,0.0,,GLU219_FodderGrass_USA,Median
38,39,USA,1,FodderGrass,FodderGrass,GLU219,rfd,0.0,,GLU219_FodderGrass_USA,Upper CI
39,40,USA,1,FodderGrass,FodderGrass,GLU220,rfd,0.0,,GLU220_FodderGrass_USA,Lower CI
39,40,USA,1,FodderGrass,FodderGrass,GLU220,rfd,0.0,,GLU220_FodderGrass_USA,Median
39,40,USA,1,FodderGrass,FodderGrass,GLU220,rfd,0.0,,GLU220_FodderGrass_USA,Upper CI
40,41,USA,1,FodderGrass,FodderGrass,GLU221,rfd,0.0,,GLU221_FodderGrass_USA,Lower CI
40,41,USA,1,FodderGrass,FodderGrass,GLU221,rfd,0.0,,GLU221_FodderGrass_USA,Median
40,41,USA,1,FodderGrass,FodderGrass,GLU221,rfd,0.0,,GLU221_FodderGrass_USA,Upper CI
41,42,USA,1,FodderGrass,FodderGrass,GLU222,rfd,0.0,,GLU222_FodderGrass_USA,Lower CI
41,42,USA,1,FodderGrass,FodderGrass,GLU222,rfd,0.0,,GLU222_FodderGrass_USA,Median
41,42,USA,1,FodderGrass,FodderGrass,GLU222,rfd,0.0,,GLU222_FodderGrass_USA,Upper CI
42,43,USA,1,FodderGrass,FodderGrass,GLU223,rfd,0.0,,GLU223_FodderGrass_USA,Lower CI
42,43,USA,1,FodderGrass,FodderGrass,GLU223,rfd,0.0,,GLU223_FodderGrass_USA,Median
42,43,USA,1,FodderGrass,FodderGrass,GLU223,rfd,0.0,,GLU223_FodderGrass_USA,Upper CI
43,44,USA,1,FodderGrass,FodderGrass,GLU224,rfd,0.0,,GLU224_FodderGrass_USA,Lower CI
43,44,USA,1,FodderGrass,FodderGrass,GLU224,rfd,0.0,,GLU224_FodderGrass_USA,Median
43,44,USA,1,FodderGrass,FodderGrass,GLU224,rfd,0.0,,GLU224_FodderGrass_USA,Upper CI
44,45,USA,1,FodderGrass,FodderGrass,GLU225,rfd,0.0,,GLU225_FodderGrass_USA,Lower CI
44,45,USA,1,FodderGrass,FodderGrass,GLU225,rfd,0.0,,GLU225_FodderGrass_USA,Median
44,45,USA,1,FodderGrass,FodderGrass,GLU225,rfd,0.0,,GLU225_FodderGrass_USA,Upper CI
45,46,USA,1,FodderGrass,FodderGrass,GLU226,rfd,0.0,,GLU226_FodderGrass_USA,Lower CI
45,46,USA,1,FodderGrass,FodderGrass,GLU226,rfd,0.0,,GLU226_FodderGrass_USA,Median
