,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,cat
358,49.884164,61.431742,70.09242,76.2433,77.83632,,,,0.06457293587000024,0.03896307823000056,0.03913643371200015,0.03985559585399967,0.037545559178000065,SSP1,Median,Central America and Caribbean,Staples,Central America and CaribbeanStaples
359,49.884164,61.431742,70.09242,76.2433,77.83632,,,,0.06767998807064497,0.11657656346881703,0.07309781790518795,0.04275764403911233,0.0427710140471354,SSP1,Upper CI,Central America and Caribbean,Staples,Central America and CaribbeanStaples
378,49.01606,49.9461292,69.7758118,92.063128,104.523508,,,,-0.165415708850497,-0.6657977158514288,-0.36320610013286986,-0.2499052062924771,-0.24832051387375836,SSP1,Lower CI,Central Asia,Non-Staples,Central AsiaNon-Staples
379,49.01606,49.9461292,69.7758118,92.063128,104.523508,,,,-0.14737742568500067,-0.22191255649840258,-0.23175816295720608,-0.23182862227739776,-0.23439428237360005,SSP1,Median,Central Asia,Non-Staples,Central AsiaNon-Staples
380,49.01606,49.9461292,69.7758118,92.063128,104.523508,,,,-0.11825220255301666,-0.12311013403573146,-0.20646291868642425,-0.2136717600958667,-0.21707591346422145,SSP1,Upper CI,Central Asia,Non-Staples,Central AsiaNon-Staples
399,95.68104,99.35616,97.6679,96.86576000000001,97.79574,,,,0.00824558846732383,-0.16040643108960848,-0.04950677400785927,-0.0066947718791854,-0.0049693915088951275,SSP1,Lower CI,Central Asia,Staples,Central AsiaStaples
400,95.68104,99.35616,97.6679,96.86576000000001,97.79574,,,,0.017652347139999858,-0.009163598568000086,-0.005856320391999681,-0.0029205468199999807,-0.003280854962000035,SSP1,Median,Central Asia,Staples,Central AsiaStaples
401,95.68104,99.35616,97.6679,96.86576000000001,97.79574,,,,0.021478655616231572,0.041549403023961484,0.006590865764050047,0.0012828186092809567,0.0012057450172759335,SSP1,Upper CI,Central Asia,Staples,Central AsiaStaples
420,479.929748,1076.3062340000001,1336.86044,1541.1608999999999,1775.15786,,,,-1.1464868466375648,-2.7328313086918046,-0.9739139729293103,-0.9989833580656639,-0.8571419220135079,SSP1,Lower CI,China,Non-Staples,ChinaNon-Staples
421,479.929748,1076.3062340000001,1336.86044,1541.1608999999999,1775.15786,,,,-0.5626441134199922,-0.9962097536199508,-0.5708654503198431,-0.660946630539911,-0.41620897840005,SSP1,Median,China,Non-Staples,ChinaNon-Staples
422,479.929748,1076.3062340000001,1336.86044,1541.1608999999999,1775.15786,,,,0.8921131850152486,1.8064876172212454,0.3501557657772576,0.16629070803539425,0.04259285308775834,SSP1,Upper CI,China,Non-Staples,ChinaNon-Staples
441,1567.4292,1657.6644000000001,1692.5233999999998,1773.4756,1748.525,,,,1.7291386517651224,1.6265506101541103,1.7542995589050063,1.5485507949495403,1.4121541690499058,SSP1,Lower CI,China,Staples,ChinaStaples
442,1567.4292,1657.6644000000001,1692.5233999999998,1773.4756,1748.525,,,,1.8400442458000015,2.0280214546399975,1.8374203807799887,1.6042323833600136,1.5021132218400055,SSP1,Median,China,Staples,ChinaStaples
443,1567.4292,1657.6644000000001,1692.5233999999998,1773.4756,1748.525,,,,2.1724623550259854,2.5316095568859014,2.1237123530683175,1.7987041373342867,1.5795151311291442,SSP1,Upper CI,China,Staples,ChinaStaples
462,128.293558,126.21683,126.2418596,126.2764292,132.044345086,,,,-0.15009149758647095,-0.18335623584097982,-0.10483266014614018,-0.0901574287790742,-0.08897088128746607,SSP1,Lower CI,Northeastern EU,Non-Staples,Northeastern EUNon-Staples
463,128.293558,126.21683,126.2418596,126.2764292,132.044345086,,,,-0.090087563090961,-0.09436367668653745,-0.08622080333682547,-0.0736338600884352,-0.0756312753705437,SSP1,Median,Northeastern EU,Non-Staples,Northeastern EUNon-Staples
464,128.293558,126.21683,126.2418596,126.2764292,132.044345086,,,,-0.007979821492356223,0.017110789007570973,-0.05690985305213958,-0.053132783807477435,-0.060567007401783654,SSP1,Upper CI,Northeastern EU,Non-Staples,Northeastern EUNon-Staples
