,Crop,MGMT,Version,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,Units,cat
274,Fruits,Low Intensity,Median,204.58612548317,259.423292582201,275.138348175762,289.814324968061,292.37798955025715,,,,285.5630610105581,281.1338269700393,276.82154840378234,275.4744979848504,274.2088904692571,,FruitsLow Intensity
275,Fruits,Low Intensity,Upper CI,204.58612548317,259.423292582201,275.138348175762,289.814324968061,292.37798955025715,,,,287.7416533303439,282.71912079741765,277.57300096949706,276.2836420266745,275.044864946785,,FruitsLow Intensity
294,Legumes,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,39.48436645547541,58.879920369391535,71.88121759721231,83.60568317645246,95.13210463435946,,LegumesBiochar Application
295,Legumes,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,55.4320189955214,72.6702019893809,82.9054836032315,96.06225364846159,110.1755246346055,,LegumesBiochar Application
296,Legumes,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,63.287080764096956,78.24905722527939,89.4163660646348,104.42931085781743,118.92699632812766,,LegumesBiochar Application
315,Legumes,High Intensity,Lower CI,295.709047024474,300.773156314649,308.806505406173,346.216717840909,415.191154111856,,,,716.3668499113276,729.8268606951084,776.9685511437544,831.0045326895123,888.3786307711911,,LegumesHigh Intensity
316,Legumes,High Intensity,Median,295.709047024474,300.773156314649,308.806505406173,346.216717840909,415.191154111856,,,,723.928045404104,759.008203189006,790.385419202179,840.269159124741,899.334512325586,,LegumesHigh Intensity
317,Legumes,High Intensity,Upper CI,295.709047024474,300.773156314649,308.806505406173,346.216717840909,415.191154111856,,,,737.8066867736009,777.3125589613031,801.7802292001354,856.1538618369378,916.8766738597968,,LegumesHigh Intensity
336,Legumes,Low Intensity,Lower CI,295.709047024474,300.773156314649,308.806505406173,346.216717840909,370.360487589783,,,,375.2008112872742,359.36568536230396,365.8222414522343,365.77851775849695,368.1101751601057,,LegumesLow Intensity
337,Legumes,Low Intensity,Median,295.709047024474,300.773156314649,308.806505406173,346.216717840909,370.360487589783,,,,377.441273576244,372.50364845954,368.736822779632,368.607606562327,370.773284300751,,LegumesLow Intensity
338,Legumes,Low Intensity,Upper CI,295.709047024474,300.773156314649,308.806505406173,346.216717840909,370.360487589783,,,,382.4691537117301,376.2154458500717,371.0842757879656,371.4398783155525,373.8711645120779,,LegumesLow Intensity
357,Nuts and Seeds,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,24.959048746100834,34.94122971289148,41.62471705984956,45.17013097892035,48.6323896521869,,Nuts and SeedsBiochar Application
358,Nuts and Seeds,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,35.48913679840293,42.63791804376442,47.19484547886671,51.00953345620139,55.09533838671898,,Nuts and SeedsBiochar Application
359,Nuts and Seeds,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,44.8629653811216,47.517292747031355,52.04677808373326,56.465569397378694,60.77301298745587,,Nuts and SeedsBiochar Application
378,Nuts and Seeds,High Intensity,Lower CI,113.120664806738,138.63856428842,154.31585664671,170.66173303676499,203.191756990514,,,,341.8284972433739,357.3119106259349,399.3282849522304,424.18692783771155,450.3143639073022,,Nuts and SeedsHigh Intensity
379,Nuts and Seeds,High Intensity,Median,113.120664806738,138.63856428842,154.31585664671,170.66173303676499,203.191756990514,,,,348.3228954092629,379.0214716345267,404.131607838856,428.0681139679082,454.9561895142865,,Nuts and SeedsHigh Intensity
380,Nuts and Seeds,High Intensity,Upper CI,113.120664806738,138.63856428842,154.31585664671,170.66173303676499,203.191756990514,,,,358.0920539381431,388.4054544701499,409.0833537891554,434.7845486520886,461.26925852728743,,Nuts and SeedsHigh Intensity
399,Nuts and Seeds,Low Intensity,Lower CI,113.120664706737,138.63856398842,154.31585654671,170.661732836765,182.706414145372,,,,189.67717209780216,188.64255812782827,190.56801298185258,190.64601632399297,191.9612629155045,,Nuts and SeedsLow Intensity
400,Nuts and Seeds,Low Intensity,Median,113.120664706737,138.63856398842,154.31585654671,170.661732836765,182.706414145372,,,,192.0210854607594,192.1576881995635,191.94338663098492,191.9066142337878,193.2181728963898,,Nuts and SeedsLow Intensity
