,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
7778,0.0251,0.0251,0.0251,0.0251,0.0251,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,Baseline,Europe_Eastern,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8382,0.0254,0.0254,0.0254,0.0254,0.0254,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,Baseline,Europe_Non_EU,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8383,0.0274,0.0274,0.0274,0.0274,0.0274,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,Baseline,Europe_Non_EU,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8384,0.0242,0.0242,0.0242,0.0242,0.0242,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,Baseline,Europe_Non_EU,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8385,0.0252,0.0252,0.0252,0.0252,0.0252,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,Baseline,Europe_Non_EU,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8386,0.0251,0.0251,0.0251,0.0251,0.0251,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,Baseline,Europe_Non_EU,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8992,0.0254,0.0254,0.0254,0.0254,0.0254,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,Baseline,European Free Trade Association,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8993,0.0274,0.0274,0.0274,0.0274,0.0274,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,Baseline,European Free Trade Association,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8994,0.0242,0.0242,0.0242,0.0242,0.0242,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,Baseline,European Free Trade Association,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8995,0.0252,0.0252,0.0252,0.0252,0.0252,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,Baseline,European Free Trade Association,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
8996,0.0251,0.0251,0.0251,0.0251,0.0251,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,Baseline,European Free Trade Association,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
9558,0.0254,0.0254,0.0254,0.0254,0.0254,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,Baseline,India,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
9559,0.0274,0.0274,0.0274,0.0274,0.0274,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,Baseline,India,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
9560,0.0242,0.0242,0.0242,0.0242,0.0242,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,Baseline,India,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
9561,0.0252,0.0252,0.0252,0.0252,0.0252,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,Baseline,India,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
9562,0.0251,0.0251,0.0251,0.0251,0.0251,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,Baseline,India,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10131,0.0254,0.0254,0.0254,0.0254,0.0254,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,Baseline,Indonesia,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10132,0.0274,0.0274,0.0274,0.0274,0.0274,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,Baseline,Indonesia,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10133,0.0242,0.0242,0.0242,0.0242,0.0242,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,Baseline,Indonesia,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10134,0.0252,0.0252,0.0252,0.0252,0.0252,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,Baseline,Indonesia,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10135,0.0251,0.0251,0.0251,0.0251,0.0251,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,Baseline,Indonesia,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10636,0.0254,0.0254,0.0254,0.0254,0.0254,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,Baseline,Japan,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10637,0.0274,0.0274,0.0274,0.0274,0.0274,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,Baseline,Japan,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10638,0.0242,0.0242,0.0242,0.0242,0.0242,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,Baseline,Japan,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
10639,0.0252,0.0252,0.0252,0.0252,0.0252,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,Baseline,Japan,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
