,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
233,7.91572,14.32713,17.22494,19.433030000000002,22.52823,,,,0.16043101150273406,0.1964552892340531,0.17611181502334916,0.18716946426020964,0.18983192865882506,SSP1,Upper CI,Northern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Northern AfricaFruits and Vegetables
252,0.465486,0.966104,0.943095,0.837106,0.973457,,,,0.0007073405395572715,-0.002581307837174132,0.0007424746087477754,0.0010089222687212909,0.0009854001295545897,SSP1,Lower CI,Northern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaOther Crops
253,0.465486,0.966104,0.943095,0.837106,0.973457,,,,0.0008799999999999919,0.0005599999999998939,0.0010699999999999044,0.0012699999999998823,0.0011399999999999189,SSP1,Median,Northern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaOther Crops
254,0.465486,0.966104,0.943095,0.837106,0.973457,,,,0.0009748816826649678,0.002415425484232887,0.0013880015817282672,0.0014901253503262896,0.0012574570133024438,SSP1,Upper CI,Northern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaOther Crops
273,6.4914931,9.446298,13.143022,16.9650124,19.64513754,,,,-0.053834791952790284,-0.06834637227921925,0.016347651731328454,0.03119276549641057,0.05244277610100603,SSP1,Lower CI,Northern Africa,missingmissingmissingmissing,Plant Oils,FiberCropOilCropOilPalmSoybean,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,Pcal,Northern AfricaPlant Oils
274,6.4914931,9.446298,13.143022,16.9650124,19.64513754,,,,-0.037661539999997634,0.04243748999999872,0.04579100000000126,0.04688300000000049,0.061016000000001375,SSP1,Median,Northern Africa,missingmissingmissingmissing,Plant Oils,FiberCropOilCropOilPalmSoybean,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,Pcal,Northern AfricaPlant Oils
275,6.4914931,9.446298,13.143022,16.9650124,19.64513754,,,,-0.009763268047206824,0.08107099227921757,0.07190130064962741,0.07107016783692324,0.07473717627994814,SSP1,Upper CI,Northern Africa,missingmissingmissingmissing,Plant Oils,FiberCropOilCropOilPalmSoybean,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,Pcal,Northern AfricaPlant Oils
294,7.51345,6.76551,6.47635,6.47365,6.73564,,,,0.021433642393943353,0.00595004771149683,0.031937442210667015,0.036266155521679805,0.03564166696862898,SSP1,Lower CI,Northern Africa,missing,Other Grains,OtherGrain,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaOther Grains
295,7.51345,6.76551,6.47635,6.47365,6.73564,,,,0.031919999999999504,0.03948000000000018,0.03940999999999928,0.03791000000000011,0.03588000000000058,SSP1,Median,Northern Africa,missing,Other Grains,OtherGrain,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaOther Grains
296,7.51345,6.76551,6.47635,6.47365,6.73564,,,,0.04457524649494474,0.050355834641444885,0.03921493874171323,0.03803479685927262,0.0362373806504191,SSP1,Upper CI,Northern Africa,missing,Other Grains,OtherGrain,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaOther Grains
315,13.9068433,23.5464056,26.0660441,29.2123956,34.04684758,,,,0.0554167775072886,0.05202915806238604,0.06528018673155934,0.0569602097817574,0.04392513785615069,SSP1,Lower CI,Northern Africa,missingmissingmissingmissingmissingmissingmissingmissing,Protein,BeefDairyOtherMeat_FishPorkPoultrySheepGoatLegumesNutsSeeds,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,Pcal,Northern AfricaProtein
