sample_id,source_repo,source_file,source_dataset_kind,pathway,feedstock_name,feedstock_group,blending_case,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_carbon_pct,product_char_hydrogen_pct,product_char_nitrogen_pct,product_char_oxygen_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,reference_label,source_extra_value_1,source_extra_value_2,source_extra_value_3
Wet-Waste-Biomass-Opt::pyrolysis::0027,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.21,44.14,1.02,23.63,,77.2,22.8,0.6,20.6,600,60,5.0,28.2,93.9,3.0,0.4,2.6,33.7,46.13,84.85,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0028,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,28.63,48.57,0.92,21.88,,85.9,14.1,7.9,16.74,600,60,5.0,30.3,75.3,2.6,1.0,4.5,26.5,47.98,79.69,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0029,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,25.15,49.87,2.62,22.35,,93.1,6.9,4.2,16.48,600,60,5.0,28.0,83.2,3.2,4.8,14.2,31.4,53.34,92.61,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0030,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,29.49,48.9,1.03,20.59,,80.5,19.0,4.5,18.79,600,60,5.0,30.5,71.8,2.8,1.9,11.6,24.1,39.11,74.27,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0031,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,24.68,49.69,0.38,25.26,,85.3,14.7,5.3,17.64,600,60,5.0,30.8,82.6,2.7,2.4,12.8,26.6,46.45,103.09,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0032,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,51.88,6.21,0.16,41.76,,84.75,15.09,0.15,18.27,350,60,10.0,32.7,75.74,5.29,0.22,18.75,29.47,52.75,47.74,"(Yu et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0033,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,51.88,6.21,0.16,41.76,,84.75,15.09,0.15,18.27,400,60,10.0,27.9,77.85,4.9,0.2,17.06,29.96,45.75,41.87,"(Yu et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0034,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,51.88,6.21,0.16,41.76,,84.75,15.09,0.15,18.27,500,60,10.0,23.3,85.79,3.89,0.23,10.1,32.4,41.32,38.53,"(Yu et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0035,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,51.88,6.21,0.16,41.76,,84.75,15.09,0.15,18.27,600,60,10.0,20.7,91.56,2.96,0.38,5.11,33.96,38.48,36.53,"(Yu et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0036,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,5,5.0,41.4,67.64,4.58,0.97,1.27,26.63,58.25,89.58,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0037,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,15,5.0,37.75,68.17,4.29,0.89,1.3,26.26,52.38,82.32,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0038,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,45,5.0,33.78,68.76,4.41,0.96,1.2,26.91,48.02,74.3,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0039,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,5,20.0,37.27,67.37,4.61,1.09,1.23,26.7,52.58,80.32,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0040,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,15,20.0,33.4,67.82,4.29,0.88,1.23,26.32,46.46,72.47,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0041,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,45,20.0,33.06,67.44,4.32,1.09,1.2,26.31,45.96,71.33,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0042,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,5,50.0,33.23,65.29,4.45,1.09,1.32,25.52,44.81,69.41,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0043,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,15,50.0,30.82,69.89,4.25,0.99,1.14,27.16,44.23,68.9,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0044,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,370,45,50.0,30.35,69.55,4.15,0.97,1.09,27.0,43.28,67.51,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0045,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,5,5.0,34.45,69.76,4.17,0.87,1.19,26.85,48.88,76.88,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0046,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,15,5.0,33.75,69.93,3.99,0.84,1.16,26.69,47.58,75.49,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0047,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,45,5.0,32.89,70.86,3.85,0.86,1.08,26.96,46.85,74.55,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0048,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,5,20.0,32.33,67.71,4.18,1.02,1.17,26.24,44.82,70.02,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0049,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,15,20.0,31.71,69.72,3.94,0.91,1.05,26.81,44.93,70.73,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0050,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,45,20.0,29.12,69.35,3.85,1.07,1.08,26.46,40.71,64.61,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0051,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,5,50.0,30.69,68.71,4.15,1.15,1.07,26.78,43.43,67.45,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0052,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,15,50.0,29.88,69.42,3.89,1.18,0.99,26.78,42.27,66.35,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0053,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,410,45,50.0,28.53,72.02,3.8,0.92,0.96,27.55,41.53,65.73,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0054,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,5,5.0,31.13,73.86,3.78,0.94,0.86,28.36,46.65,73.54,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0055,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,15,5.0,29.79,74.59,3.62,0.91,0.84,28.39,44.68,71.08,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0056,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,45,5.0,29.17,73.98,3.4,1.03,0.83,27.87,42.96,69.04,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0057,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,5,20.0,28.56,71.27,3.63,0.96,0.96,27.04,40.8,65.11,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0058,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,15,20.0,28.22,71.72,3.55,0.91,0.94,27.1,40.42,64.76,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0059,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,45,20.0,28.95,71.69,3.49,0.91,0.96,26.94,41.21,66.39,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0060,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,5,50.0,28.07,70.8,3.61,0.86,1.02,26.71,39.62,63.57,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0061,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,15,50.0,27.85,71.83,3.39,0.91,0.95,26.85,39.51,63.99,"(Ghysels et al., 2019)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0062,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,31.26,44.18,0.27,24.3,,83.12,7.38,2.41,18.93,450,45,50.0,27.38,72.77,3.27,0.84,0.93,27.02,39.1,63.75,"(Ghysels et al., 2019)",,,
