sample_id,source_repo,source_file,source_dataset_kind,pathway,feedstock_name,feedstock_group,blending_case,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_carbon_pct,product_char_hydrogen_pct,product_char_nitrogen_pct,product_char_oxygen_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,reference_label,source_extra_value_1,source_extra_value_2,source_extra_value_3
Wet-Waste-Biomass-Opt::htc::0046,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,30,,70.74,37.83,5.49,3.97,19.17,17.19,74.95,73.06,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0047,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,60,,67.18,37.93,5.37,3.98,18.71,17.13,70.94,69.56,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0048,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,120,,64.31,38.16,5.31,2.67,16.28,17.62,69.83,67.0,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0049,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,240,,61.87,38.29,5.2,2.68,14.81,17.74,67.64,64.67,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0050,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,15,,69.32,37.69,5.4,3.08,18.09,17.25,73.68,71.33,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0051,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,30,,66.83,37.85,5.39,3.09,17.66,17.37,71.55,69.06,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0052,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,60,,64.06,37.95,5.22,2.66,18.22,17.04,67.25,66.37,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0053,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,120,,61.26,38.86,5.15,2.72,15.03,17.77,67.09,64.99,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0054,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,240,,60.54,39.24,5.13,2.75,14.13,18.04,67.31,64.85,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0055,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,29.6,4.3,4.35,21.15,89.0,51.13,8.27,40.6,,200,240,,51.0,26.2,3.14,2.45,11.88,11.22,46.25,45.14,"(Wilk et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0056,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,180,30,,93.9,39.98,5.93,7.0,17.59,18.82,95.44,97.38,"(Kim et al., 2018)",,,
Wet-Waste-Biomass-Opt::htc::0057,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,200,30,,92.6,40.39,5.79,7.07,17.23,18.82,94.13,97.02,"(Kim et al., 2018)",,,
Wet-Waste-Biomass-Opt::htc::0058,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,220,30,,88.7,41.6,5.41,6.31,13.31,19.35,92.71,95.72,"(Kim et al., 2018)",,,
Wet-Waste-Biomass-Opt::htc::0059,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,250,30,,83.4,45.23,4.79,6.33,4.82,21.22,95.58,97.85,"(Kim et al., 2018)",,,
Wet-Waste-Biomass-Opt::htc::0060,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,280,30,,80.4,48.45,4.12,5.09,2.58,21.83,94.77,101.05,"(Kim et al., 2018)",,,
Wet-Waste-Biomass-Opt::htc::0061,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,39.72,5.91,7.15,26.31,88.0,71.53,7.56,20.91,,220,30,,39.78,40.42,4.65,3.77,12.4,18.06,41.87,40.48,"(Zhang, X. et al., 2017)",,,
Wet-Waste-Biomass-Opt::htc::0062,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,,160,30,,68.8,35.53,4.2,4.97,16.58,15.04,77.91,70.28,"(Aragon Briceño, 2018)",,,
Wet-Waste-Biomass-Opt::htc::0063,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,,220,30,,73.4,33.21,3.9,1.94,15.94,13.99,77.35,70.09,"(Aragon Briceño, 2018)",,,
Wet-Waste-Biomass-Opt::htc::0064,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,,250,30,,56.8,38.03,4.88,4.44,15.72,16.98,72.63,62.11,"(Aragon Briceño, 2018)",,,
Wet-Waste-Biomass-Opt::htc::0065,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,140,240,,72.75,44.43,5.81,2.59,23.7,19.11,69.31,68.87,"(Danso-Boateng et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0066,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,170,240,,66.75,45.77,5.99,2.14,21.36,20.24,67.36,65.1,"(Danso-Boateng et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0067,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,190,240,,62.4,45.58,5.7,2.13,21.27,19.71,61.33,60.6,"(Danso-Boateng et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0068,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,200,240,,62.15,46.17,5.81,1.62,19.7,20.34,63.04,61.14,"(Danso-Boateng et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0069,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,180,30,,66.18,21.23,3.5,1.73,5.1,11.26,64.22,56.13,"(Peng et al., 2016)",,,
Wet-Waste-Biomass-Opt::htc::0070,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,220,30,,60.58,19.62,3.22,1.37,3.92,10.54,55.02,47.49,"(Peng et al., 2016)",,,
