,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
215,,0.1946043,0.34800993333333335,0.5862376666666667,2.689885,5.948910000000001,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,IA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
217,0.2702472666666667,0.3503445,0.7060056666666668,1.5138493333333336,0.5151226666666667,1.0999413333333332,371.24877272727264,354.26969999999994,333.0300545454545,309.03209999999996,280.6421454545454,259.46738181818176,DAC,IA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
219,,0.022573246666666668,0.08308410000000001,0.2512480666666667,1.8770436666666666,5.175793333333334,,320.2882636363636,263.3852454545454,217.9646454545454,182.3744727272727,154.83912818181815,TEW,IA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
221,,0.1583310666666667,0.2910358,0.503811,2.0994563333333334,4.590556666666667,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,KS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
223,0.25019023333333335,0.3539591,0.7999310000000001,1.8301543333333334,0.45761466666666667,0.9882693333333333,361.72112727272724,342.13347272727265,318.29689090909085,295.1573727272727,268.7903999999999,246.63741818181813,DAC,KS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
225,,,0.0592823,0.1761037666666667,1.076141,2.7595883333333338,,,277.69917272727264,233.28839999999994,202.12682727272724,175.1459727272727,TEW,KS,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
227,,0.20610920000000002,0.36927733333333335,0.6187976666666667,2.8843173333333336,6.328740000000001,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,KY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
229,0.2834355333333333,0.34847633333333333,0.718817,1.4635280000000002,0.5681976666666667,1.2553346666666667,372.2419636363636,357.95465454545445,335.1528545454545,312.8667818181818,278.0102727272727,253.46165454545448,DAC,KY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
231,,0.026369090000000005,0.0937013,0.2656415666666667,1.6826516666666669,3.7222166666666667,,309.99700909090905,258.08989090909085,217.84319999999997,193.59569999999997,176.4269727272727,TEW,KY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
233,,0.2920742,0.4969433333333334,0.8001986666666667,3.598679333333334,6.19707,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,158.9308418181818,BECCS,LA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
