C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
40.8,4.1,3.9,42,16.21,5.59,84.56,9.86,600,30,5,30.3,58.4,3.6,7.1,2.5,25.78,48.2,43.37,Patra et al. 2021,,,
42.5,5.1,2.2,40.5,16.51,4.33,85.71,9.96,600,60,5,28.8,63.5,4.8,10.3,3.6,30.63,53.43,43.03,Patra et al. 2021,,,
43.2,5.5,0.2,45.7,16.53,7.22,87.05,5.73,600,60,5,29.1,67,4.8,12.6,0.7,31.05,54.66,45.13,Patra et al. 2021,,,
42,5.5,0.1,44.9,15.9,15.32,77.28,7.41,350,10,5,42.1,61.4,3.6,19,1,22.86,60.53,61.55,Crombie and Mašek. 2015,,,
42,5.5,0.1,44.9,15.9,15.32,77.28,7.41,650,10,5,31.2,71.1,1.3,5.8,1,25.22,49.48,52.82,Crombie and Mašek. 2015,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,250,30,5,71.2,50.8,5.2,37.3,1.3,13.37,61.46,88.52,Tag et al. 2016,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,300,30,5,58.6,57,4.14,29.59,2.09,17.13,64.82,81.75,Tag et al. 2016,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,350,30,5,41.2,64.7,4.05,21.25,1.3,24.12,64.16,65.24,Tag et al. 2016,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,500,30,5,33.5,71.29,3.38,13.31,1.42,27.49,59.46,58.45,Tag et al. 2016,,,
40.86,5.27,1.03,48.07,15.49,24.8,70.9,4.3,600,30,5,29.6,72.25,2.47,12.33,1.45,25.96,49.6,52.34,Tag et al. 2016,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,250,30,5,65.1,52.3,5,28.2,5,20.1,96.63,95.37,Tag et al. 2016,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,300,30,5,49.8,53.57,3.69,24.34,5.41,18.25,67.12,74.73,Tag et al. 2016,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,350,30,5,40.5,57,3.19,15.91,5.3,21.83,65.29,64.66,Tag et al. 2016,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,500,30,5,33.3,60.35,2.44,11.25,4.16,22.56,55.47,56.29,Tag et al. 2016,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,600,30,5,31.1,56.6,2.02,8.22,3.86,21.5,49.37,49.31,Tag et al. 2016,,,
51.88,6.21,0.16,41.76,20.71,15.09,84.75,0.16,350,60,10,32.7,75.74,5.29,18.75,0.22,33.6,53.07,47.74,"Yu et al., 2019",,,
51.88,6.21,0.16,41.76,20.71,15.09,84.75,0.16,400,60,10,27.9,77.85,4.9,17.06,0.2,33.47,45.1,41.87,"Yu et al., 2019",,,
51.88,6.21,0.16,41.76,20.71,15.09,84.75,0.16,500,60,10,23.3,85.79,3.89,10.1,0.23,35.16,39.57,38.53,"Yu et al., 2019",,,
51.88,6.21,0.16,41.76,20.71,15.09,84.75,0.16,600,60,10,20.7,91.56,2.96,5.11,0.38,35.86,35.85,36.53,"Yu et al., 2019",,,
