C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,15,5,29.79,74.59,3.62,0.84,0.91,28.39,44.68,71.08,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,45,5,29.17,73.98,3.4,0.83,1.03,27.87,42.96,69.04,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,5,20,28.56,71.27,3.63,0.96,0.96,27.04,40.8,65.11,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,15,20,28.22,71.72,3.55,0.94,0.91,27.1,40.42,64.76,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,45,20,28.95,71.69,3.49,0.96,0.91,26.94,41.21,66.39,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,5,50,28.07,70.8,3.61,1.02,0.86,26.71,39.62,63.57,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,15,50,27.85,71.83,3.39,0.95,0.91,26.85,39.51,63.99,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,45,50,27.38,72.77,3.27,0.93,0.84,27.02,39.1,63.75,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,5,5,54.01,58.91,3.89,3.86,2.67,22.84,56.83,91.1,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,15,5,53.89,59.03,3.51,3.48,2.75,22.25,55.23,91.08,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,45,5,55.12,61.07,3.65,3.62,2.71,23.55,59.81,96.37,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,5,20,52.49,60.26,3.8,3.77,2.71,23.38,56.55,90.57,,,,
34.93,45.96,1.4,17.72,21.71,25.57,58.19,8.92,370,15,20,51.65,60.96,3.76,3.73,2.72,23.32,55.5,90.15,,,,
