Biomass type,C (%),H (%),N (%),O (%),WC (%),VM (%),FC (%),Ash (%),T (°C),RT (min),Char_yield (%),Char_C (%),Char_H (%),Char_N (%),Char_O (%),HHV (MJ/kg),ER (%),CR (%),Reference
Sludge,34.78,3.93,5.04,22.93,82.50,58.54,8.14,33.32,160,30,68.80,35.53,4.20,4.97,16.58,15.04,77.91,70.28,
Sludge,34.78,3.93,5.04,22.93,82.50,58.54,8.14,33.32,220,30,73.40,33.21,3.90,1.94,15.94,13.99,77.35,70.09,
Sludge,34.78,3.93,5.04,22.93,82.50,58.54,8.14,33.32,250,30,56.80,38.03,4.88,4.44,15.72,16.98,72.63,62.11,
Sludge,46.93,6.11,4.17,25.36,75.00,76.76,5.82,17.43,140,240,72.75,44.43,5.81,2.59,23.70,19.11,69.31,68.87,
Sludge,46.93,6.11,4.17,25.36,75.00,76.76,5.82,17.43,170,240,66.75,45.77,5.99,2.14,21.36,20.24,67.36,65.10,
Sludge,46.93,6.11,4.17,25.36,75.00,76.76,5.82,17.43,190,240,62.40,45.58,5.70,2.13,21.27,19.71,61.33,60.60,
Sludge,46.93,6.11,4.17,25.36,75.00,76.76,5.82,17.43,200,240,62.15,46.17,5.81,1.62,19.70,20.34,63.04,61.14,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,180,30,66.18,21.23,3.50,1.73,5.10,11.26,64.22,56.13,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,220,30,60.58,19.62,3.22,1.37,3.92,10.54,55.02,47.49,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,260,30,56.23,24.27,3.92,1.70,7.77,12.40,60.10,54.52,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,300,30,53.00,21.94,3.36,1.02,2.63,11.74,53.62,46.46,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,260,60,58.51,24.49,3.67,1.71,5.22,12.62,63.63,57.25,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,260,60,59.37,24.13,3.72,1.41,8.69,11.93,61.06,57.24,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,260,360,63.32,19.90,3.23,1.16,5.84,10.29,56.19,50.34,
Sludge,25.03,4.21,4.86,16.05,90.00,47.49,2.66,49.85,260,480,66.19,24.12,3.70,1.41,11.26,11.41,65.12,63.78,
Sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.00,15.41,160,60,62.11,44.56,6.50,7.80,41.00,17.02,53.41,63.20,
Sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.00,15.41,200,60,43.15,46.16,6.54,7.00,40.01,17.77,38.74,45.49,
Sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.00,15.41,240,60,32.42,49.81,6.56,5.23,37.86,19.38,31.75,36.88,
Sludge,32.60,4.80,5.50,21.20,80.00,55.90,8.20,35.90,250,1200,25.60,27.80,3.89,1.95,10.38,13.08,23.78,21.83,
Sludge,36.00,5.80,5.50,29.60,83.30,73.20,3.70,23.10,180,30,82.20,38.00,5.51,4.88,25.33,16.16,87.60,86.77,
Sludge,36.00,5.80,5.50,29.60,83.30,73.20,3.70,23.10,220,30,60.40,39.60,5.31,5.08,22.70,16.88,67.23,66.44,
Sludge,36.00,5.80,5.50,29.60,83.30,73.20,3.70,23.10,260,30,50.20,38.70,5.10,4.06,20.64,16.66,55.17,53.97,
Lignin/cellulose,45.03,5.70,0.44,44.93,90.00,75.48,20.62,3.90,160,60,79.90,47.67,5.84,0.56,43.86,16.60,86.39,84.58,
Lignin/cellulose,45.03,5.70,0.44,44.93,90.00,75.48,20.62,3.90,180,60,65.20,49.30,5.75,0.58,41.41,17.49,74.29,71.38,
Lignin/cellulose,45.03,5.70,0.44,44.93,90.00,75.48,20.62,3.90,200,60,61.30,51.95,5.80,0.61,36.71,19.33,77.19,70.72,
Lignin/cellulose,45.03,5.70,0.44,44.93,90.00,75.48,20.62,3.90,220,60,57.30,54.35,5.84,0.63,34.78,20.49,76.46,69.16,
Lignin/cellulose,45.03,5.70,0.44,44.93,90.00,75.48,20.62,3.90,240,60,49.20,60.68,5.56,0.71,29.94,23.13,74.13,66.30,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,190,90,67.00,46.70,5.49,0.00,44.21,15.81,72.91,72.60,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,210,90,58.00,51.40,5.40,0.00,37.01,18.52,73.92,69.17,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,230,90,49.00,64.00,4.91,0.75,24.75,24.23,81.68,72.76,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,250,90,44.00,65.00,4.60,0.76,23.40,24.33,73.67,66.36,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,270,90,40.00,65.60,4.37,0.77,23.62,24.24,66.71,60.88,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,290,90,39.50,66.70,4.39,0.78,21.34,24.96,67.85,61.13,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,310,90,38.50,67.70,4.51,0.79,20.76,25.56,67.72,60.47,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,330,90,37.00,67.30,4.21,0.79,23.33,24.59,62.62,57.77,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,350,90,34.00,71.60,4.00,0.84,17.18,26.80,62.70,56.48,
Lignin/cellulose,43.10,5.80,0.23,46.67,90.00,78.60,17.20,4.20,370,90,33.00,70.30,4.28,0.82,17.81,26.71,60.65,53.83,
Food waste,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.40,200,30,75.00,64.92,2.98,7.57,6.06,25.18,97.03,90.40,
Food waste,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.40,230,30,74.50,68.50,2.85,7.99,0.00,27.24,104.28,94.75,
Food waste,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.40,260,30,68.50,70.53,2.82,8.23,3.76,28.60,100.67,89.70,
Food waste,43.53,6.20,1.23,47.49,92.00,83.64,14.81,1.55,190,15,36.00,62.45,5.41,0.73,30.81,23.36,55.70,51.65,
Food waste,43.53,6.20,1.23,47.49,92.00,83.64,14.81,1.55,225,15,36.00,64.20,5.35,0.75,29.10,24.07,57.38,53.09,
Food waste,43.53,6.20,1.23,47.49,92.00,83.64,14.81,1.55,260,15,39.00,66.81,5.01,0.78,26.72,24.98,64.52,59.86,
Food waste,47.94,6.66,1.96,40.97,92.00,81.65,15.88,2.47,190,15,27.00,55.89,7.08,2.61,33.53,23.05,33.82,31.48,
Food waste,47.94,6.66,1.96,40.97,92.00,81.65,15.88,2.47,225,15,27.00,62.10,6.93,2.17,28.15,25.91,38.01,34.97,
Food waste,47.94,6.66,1.96,40.97,92.00,81.65,15.88,2.47,260,15,27.00,67.48,7.09,2.36,22.49,28.89,42.38,38.01,
Food waste,44.15,6.44,0.62,46.79,92.00,83.14,14.86,2.00,190,15,36.00,53.89,6.20,0.63,37.36,20.38,46.51,43.94,
Food waste,44.15,6.44,0.62,46.79,92.00,83.14,14.86,2.00,225,15,28.00,61.23,6.33,0.71,31.02,24.15,42.87,38.83,
Food waste,44.15,6.44,0.62,46.79,92.00,83.14,14.86,2.00,260,15,30.00,64.90,5.79,0.76,26.83,25.42,48.33,44.10,
Food waste,44.14,6.18,1.27,41.91,92.00,76.22,17.28,6.50,190,15,38.00,55.73,5.48,1.30,34.18,20.53,47.95,47.98,
Food waste,44.14,6.18,1.27,41.91,92.00,76.22,17.28,6.50,225,15,40.00,61.46,5.17,1.43,30.32,22.80,56.06,55.70,
Food waste,44.14,6.18,1.27,41.91,92.00,76.22,17.28,6.50,260,15,45.00,63.91,5.06,1.49,24.71,24.38,67.42,65.16,
Lignin/cellulose,46.66,6.00,0.21,46.33,92.00,87.59,11.61,0.80,190,15,78.00,48.76,5.97,0.00,44.86,17.05,82.69,81.51,
Lignin/cellulose,46.66,6.00,0.21,46.33,92.00,87.59,11.61,0.80,225,15,64.00,49.62,5.91,0.00,43.67,17.47,69.54,68.06,
Lignin/cellulose,46.66,6.00,0.21,46.33,92.00,87.59,11.61,0.80,260,15,48.00,65.33,4.95,0.00,28.75,24.08,71.88,67.21,
Food waste,42.50,5.80,3.20,28.10,80.00,54.09,25.51,20.40,250,1200,43.80,67.60,5.80,4.73,0.00,31.10,77.26,69.67,
Food waste,49.48,6.86,2.84,34.29,83.00,76.05,17.42,6.53,180,60,86.00,56.14,6.92,1.96,31.44,23.30,98.25,97.58,
Food waste,49.48,6.86,2.84,34.29,83.00,76.05,17.42,6.53,200,60,78.00,58.63,7.08,2.05,28.92,24.80,94.83,92.42,
Food waste,49.48,6.86,2.84,34.29,83.00,76.05,17.42,6.53,220,60,66.00,60.51,6.50,2.12,23.40,25.51,82.54,80.71,
Food waste,41.96,8.01,3.45,35.08,80.00,72.60,15.90,11.50,180,60,53.82,65.51,7.37,3.06,14.85,30.02,83.50,84.03,
Food waste,41.96,8.01,3.45,35.08,80.00,72.60,15.90,11.50,200,60,45.52,66.49,7.15,3.10,15.07,30.02,70.63,72.13,
Food waste,41.96,8.01,3.45,35.08,80.00,72.60,15.90,11.50,220,60,40.25,68.54,6.74,3.20,14.62,30.17,62.76,65.75,
Food waste,41.96,8.01,3.45,35.08,80.00,72.60,15.90,11.50,240,60,38.20,69.36,6.94,4.05,12.02,31.14,61.47,63.14,
Food waste,41.96,8.01,3.45,35.08,80.00,72.60,15.90,11.50,260,60,35.01,71.96,7.38,4.20,10.55,33.00,59.71,60.04,
Lignin/cellulose,46.30,7.01,1.61,43.15,87.50,88.60,9.47,1.93,180,120,36.70,58.90,5.35,2.75,30.63,22.08,45.12,46.69,
Lignin/cellulose,46.30,7.01,1.61,43.15,87.50,88.60,9.47,1.93,180,560,47.20,64.80,5.99,3.02,25.06,26.04,68.44,66.06,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,180,720,55.60,67.30,5.55,2.36,23.33,26.51,82.07,80.82,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,215,120,51.90,67.60,5.63,2.37,22.53,26.91,77.76,75.78,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,215,560,52.60,65.90,5.44,2.31,24.60,25.66,75.13,74.87,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,215,720,52.70,68.70,5.50,2.40,21.07,27.28,80.03,78.20,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,250,120,49.40,65.60,5.52,3.06,24.49,25.67,70.59,69.99,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,250,560,48.30,66.00,5.39,2.31,24.64,25.66,68.99,68.85,
Lignin/cellulose,51.90,7.44,4.38,32.18,87.50,83.80,12.10,4.10,250,720,47.50,66.40,5.48,3.10,23.90,26.02,68.81,68.12,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,180,120,72.90,59.30,7.31,4.84,24.51,26.15,85.02,83.29,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,180,560,71.70,60.90,7.21,4.97,22.74,26.86,85.92,84.13,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,180,720,70.90,61.80,7.26,4.33,22.25,27.36,86.54,84.42,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,215,120,64.80,63.50,7.36,4.45,20.32,28.36,81.99,79.28,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,215,560,59.20,66.00,7.43,4.62,17.60,29.79,78.67,75.28,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,215,720,56.10,67.30,7.40,4.71,15.25,30.60,76.57,72.75,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,250,120,51.50,69.50,7.47,4.87,12.97,31.82,73.10,68.96,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,250,560,49.20,70.20,7.72,4.10,13.10,32.44,71.20,66.55,
Food waste,45.33,6.16,13.42,22.32,87.50,86.50,0.73,12.77,250,720,45.00,69.70,7.43,4.07,13.01,31.86,63.95,60.43,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,150,60,17.79,27.35,3.62,3.83,36.47,7.93,7.01,10.73,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,150,90,21.54,38.72,4.97,5.42,23.75,15.93,17.05,18.40,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,150,120,20.70,42.10,5.30,6.39,20.21,18.15,18.67,19.22,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,180,60,22.91,54.51,6.27,7.63,4.36,26.59,30.27,27.55,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,180,90,26.70,51.76,5.95,7.25,11.73,23.84,31.63,30.49,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,180,120,30.75,48.09,5.37,6.73,19.88,20.43,31.20,32.62,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,210,60,21.95,52.86,5.81,6.78,13.39,23.81,25.97,25.60,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,210,90,29.27,49.41,5.85,6.92,16.47,22.11,32.15,31.90,
Food waste,43.09,6.91,11.47,23.80,50.00,83.77,1.50,14.73,210,120,34.49,49.78,5.56,6.97,16.59,21.74,37.24,37.87,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,150,60,18.52,39.02,5.46,4.55,26.01,16.36,15.02,16.77,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,150,90,22.78,44.45,6.15,5.19,20.15,20.24,22.86,23.50,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,150,120,20.70,45.08,6.24,5.26,19.84,20.60,21.14,21.66,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,180,60,27.62,42.72,5.45,4.98,22.78,18.13,24.82,27.38,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,180,90,27.18,45.96,6.01,4.83,20.84,20.38,27.46,28.99,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,180,120,28.74,45.73,6.06,4.80,21.34,20.30,28.92,30.50,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,210,60,24.87,46.45,5.84,4.88,20.44,20.38,25.12,26.81,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,210,90,28.48,47.21,5.82,4.96,20.77,20.57,29.04,31.20,
Food waste,39.00,7.32,5.70,41.57,50.00,79.11,14.48,6.41,210,120,35.41,49.23,5.78,5.74,17.72,21.72,38.13,40.46,
Food waste,51.14,7.63,3.45,26.31,75.00,72.55,15.98,11.47,200,60,7.00,62.83,7.23,4.40,20.94,27.82,12.01,11.28,
Food waste,51.14,7.63,3.45,26.31,75.00,72.55,15.98,11.47,250,60,5.95,68.10,7.09,4.77,17.25,30.05,11.03,10.39,
Food waste,51.14,7.63,3.45,26.31,75.00,72.55,15.98,11.47,300,60,5.25,73.00,7.00,5.11,12.65,32.42,10.50,9.83,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,200,60,56.15,66.11,7.11,2.31,13.22,30.13,72.07,72.59,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,230,60,39.76,70.07,6.89,3.27,11.21,31.49,53.34,54.48,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,260,60,35.71,72.54,6.83,3.39,7.74,32.94,50.10,50.65,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,200,180,48.43,66.56,7.10,2.33,14.20,30.08,62.05,63.03,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,230,180,40.90,70.04,7.12,3.27,11.21,31.84,55.48,56.02,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,260,180,33.28,72.97,6.81,3.41,6.81,33.13,46.97,47.49,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,200,480,44.56,68.09,7.04,3.18,11.80,30.96,58.77,59.33,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,230,480,38.80,69.20,6.98,4.04,10.15,31.46,52.00,52.50,
Food waste,61.94,7.22,6.51,10.97,89.00,80.17,6.47,13.36,260,480,30.27,73.69,6.69,3.44,5.90,33.44,43.12,43.62,
Lignin/cellulose,49.15,5.51,0.59,42.24,83.00,77.68,19.81,2.51,170,30,78.40,61.24,6.79,4.29,12.25,28.25,75.65,77.51,
Lignin/cellulose,49.15,5.51,0.59,42.24,83.00,77.68,19.81,2.51,180,30,77.50,61.93,6.97,4.34,10.73,28.90,76.52,77.49,
Lignin/cellulose,49.15,5.51,0.59,42.24,83.00,77.68,19.81,2.51,190,30,75.10,62.03,6.82,3.62,11.58,28.63,73.44,75.21,
Lignin/cellulose,49.15,5.51,0.59,42.24,83.00,77.68,19.81,2.51,200,30,73.20,62.28,6.75,4.36,10.80,28.69,71.74,73.60,
Lignin/cellulose,49.15,5.51,0.59,42.24,83.00,77.68,19.81,2.51,220,30,57.50,65.96,6.27,4.62,7.04,29.98,58.88,61.23,
Food waste,52.76,5.56,1.89,34.39,89.00,72.60,22.00,5.40,220,60,63.73,53.63,5.45,0.63,37.18,19.28,72.46,69.54,
Food waste,52.76,5.56,1.89,34.39,89.00,72.60,22.00,5.40,220,120,56.81,55.68,5.43,0.65,34.89,20.32,68.08,64.36,
Food waste,52.76,5.56,1.89,34.39,89.00,72.60,22.00,5.40,220,180,52.22,57.90,5.21,0.68,32.42,21.29,65.57,61.52,
Food waste,52.76,5.56,1.89,34.39,89.00,72.60,22.00,5.40,180,120,72.42,51.32,5.43,0.60,39.69,18.06,77.16,75.62,
