sample_id,dataset_scope,data_tier,recommended_split,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0057,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2018)",htc,Sludge,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,200,30,92.6,18.82,94.13,97.02
Wet-Waste-Biomass-Opt::htc::0058,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2018)",htc,Sludge,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,220,30,88.7,19.35,92.71,95.72
Wet-Waste-Biomass-Opt::htc::0059,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2018)",htc,Sludge,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,250,30,83.4,21.22,95.58,97.85
Wet-Waste-Biomass-Opt::htc::0060,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kim et al., 2018)",htc,Sludge,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,280,30,80.4,21.83,94.77,101.05
Wet-Waste-Biomass-Opt::htc::0061,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang, X. et al., 2017)",htc,Sludge,sludge,39.72,5.91,7.15,26.31,88.0,71.53,7.56,20.91,220,30,39.78,18.06,41.87,40.48
Wet-Waste-Biomass-Opt::htc::0062,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Aragon Briceño, 2018)",htc,Sludge,sludge,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,160,30,68.8,15.04,77.91,70.28
Wet-Waste-Biomass-Opt::htc::0063,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Aragon Briceño, 2018)",htc,Sludge,sludge,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,220,30,73.4,13.99,77.35,70.09
Wet-Waste-Biomass-Opt::htc::0064,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Aragon Briceño, 2018)",htc,Sludge,sludge,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,250,30,56.8,16.98,72.63,62.11
Wet-Waste-Biomass-Opt::htc::0065,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Danso-Boateng et al., 2013)",htc,Sludge,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,140,240,72.75,19.11,69.31,68.87
Wet-Waste-Biomass-Opt::htc::0066,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Danso-Boateng et al., 2013)",htc,Sludge,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,170,240,66.75,20.24,67.36,65.1
Wet-Waste-Biomass-Opt::htc::0067,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Danso-Boateng et al., 2013)",htc,Sludge,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,190,240,62.4,19.71,61.33,60.6
Wet-Waste-Biomass-Opt::htc::0068,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Danso-Boateng et al., 2013)",htc,Sludge,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,200,240,62.15,20.34,63.04,61.14
