sample_id,source_repo,source_file,source_dataset_kind,feedstock_name,blending_case,reference_label,pathway,feedstock_group,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,blend_manure_ratio,blend_wet_waste_ratio,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0086,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,45.03,5.7,0.44,44.93,90.0,75.48,20.62,3.9,,200,60,,,,61.3,19.33,77.19,70.72
Wet-Waste-Biomass-Opt::htc::0087,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,45.03,5.7,0.44,44.93,90.0,75.48,20.62,3.9,,220,60,,,,57.3,20.49,76.46,69.16
Wet-Waste-Biomass-Opt::htc::0088,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,45.03,5.7,0.44,44.93,90.0,75.48,20.62,3.9,,240,60,,,,49.2,23.13,74.13,66.3
Wet-Waste-Biomass-Opt::htc::0089,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,190,90,,,,67.0,15.81,72.91,72.6
Wet-Waste-Biomass-Opt::htc::0090,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,210,90,,,,58.0,18.52,73.92,69.17
Wet-Waste-Biomass-Opt::htc::0091,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,230,90,,,,49.0,24.23,81.68,72.76
Wet-Waste-Biomass-Opt::htc::0092,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,250,90,,,,44.0,24.33,73.67,66.36
Wet-Waste-Biomass-Opt::htc::0093,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,270,90,,,,40.0,24.24,66.71,60.88
Wet-Waste-Biomass-Opt::htc::0094,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,290,90,,,,39.5,24.96,67.85,61.13
Wet-Waste-Biomass-Opt::htc::0095,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,310,90,,,,38.5,25.56,67.72,60.47
Wet-Waste-Biomass-Opt::htc::0096,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,330,90,,,,37.0,24.59,62.62,57.77
Wet-Waste-Biomass-Opt::htc::0097,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,350,90,,,,34.0,26.8,62.7,56.48
Wet-Waste-Biomass-Opt::htc::0098,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,43.1,5.8,0.23,46.67,90.0,78.6,17.2,4.2,,370,90,,,,33.0,26.71,60.65,53.83
Wet-Waste-Biomass-Opt::htc::0099,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Food waste,single_source_reference,,htc,food_waste,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.4,,200,30,,,,75.0,25.18,97.03,90.4
