sample_id,recommended_split,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::pyrolysis::0079,validation,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,15,50.0,45.76,23.63,49.82,81.8
Wet-Waste-Biomass-Opt::pyrolysis::0080,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,45,50.0,45.55,22.81,47.88,80.21
Wet-Waste-Biomass-Opt::pyrolysis::0081,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,5,5.0,47.47,23.86,52.18,85.7
Wet-Waste-Biomass-Opt::pyrolysis::0082,validation,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,15,5.0,45.98,22.44,47.54,80.97
Wet-Waste-Biomass-Opt::pyrolysis::0083,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,45,5.0,44.03,24.94,50.6,83.02
Wet-Waste-Biomass-Opt::pyrolysis::0084,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,5,20.0,46.76,23.25,50.08,83.41
Wet-Waste-Biomass-Opt::pyrolysis::0085,test,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,15,20.0,44.88,22.88,47.31,80.61
Wet-Waste-Biomass-Opt::pyrolysis::0086,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,45,20.0,45.6,22.58,47.43,80.86
Wet-Waste-Biomass-Opt::pyrolysis::0087,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,5,50.0,43.92,23.14,46.82,78.5
Wet-Waste-Biomass-Opt::pyrolysis::0088,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,15,50.0,43.4,22.99,45.97,77.45
Wet-Waste-Biomass-Opt::pyrolysis::0089,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,450,45,50.0,44.19,22.21,45.23,76.94
Wet-Waste-Biomass-Opt::pyrolysis::0090,train,44.8,7.1,0.43,37.3,60.83,22.15,10.37,20.76,400,30,15.0,39.16,22.78,42.96,53.56
Wet-Waste-Biomass-Opt::pyrolysis::0091,train,44.8,7.1,0.43,37.3,60.83,22.15,10.37,20.76,450,30,15.0,35.22,24.75,41.98,47.15
Wet-Waste-Biomass-Opt::pyrolysis::0092,train,44.8,7.1,0.43,37.3,60.83,22.15,10.37,20.76,500,30,15.0,31.78,26.47,40.51,45.06
Wet-Waste-Biomass-Opt::pyrolysis::0093,train,44.8,7.1,0.43,37.3,60.83,22.15,10.37,20.76,550,30,15.0,30.48,28.4,41.69,46.09
Wet-Waste-Biomass-Opt::pyrolysis::0094,validation,49.65,7.54,4.03,38.13,78.71,14.08,1.83,20.98,400,60,5.0,41.47,29.61,58.53,60.37
