sample_id,dataset_scope,data_tier,row_origin,recommended_split,recommended_sample_weight,recommended_ml_use,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,manure_subtype,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0122,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Wang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,41.96,8.01,3.45,35.08,80.0,72.6,15.9,11.5,200.0,60.0,45.52,30.02,70.63,72.13
Wet-Waste-Biomass-Opt::htc::0123,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Wang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,41.96,8.01,3.45,35.08,80.0,72.6,15.9,11.5,220.0,60.0,40.25,30.17,62.76,65.75
Wet-Waste-Biomass-Opt::htc::0124,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Wang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,41.96,8.01,3.45,35.08,80.0,72.6,15.9,11.5,240.0,60.0,38.2,31.14,61.47,63.14
Wet-Waste-Biomass-Opt::htc::0125,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Wang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,41.96,8.01,3.45,35.08,80.0,72.6,15.9,11.5,260.0,60.0,35.01,33.0,59.71,60.04
Wet-Waste-Biomass-Opt::htc::0135,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,180.0,120.0,72.9,26.15,85.02,83.29
Wet-Waste-Biomass-Opt::htc::0136,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,180.0,560.0,71.7,26.86,85.92,84.13
Wet-Waste-Biomass-Opt::htc::0137,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,180.0,720.0,70.9,27.36,86.54,84.42
Wet-Waste-Biomass-Opt::htc::0138,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,215.0,120.0,64.8,28.36,81.99,79.28
Wet-Waste-Biomass-Opt::htc::0139,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,215.0,560.0,59.2,29.79,78.67,75.28
Wet-Waste-Biomass-Opt::htc::0140,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,215.0,720.0,56.1,30.6,76.57,72.75
Wet-Waste-Biomass-Opt::htc::0141,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,250.0,120.0,51.5,31.82,73.1,68.96
Wet-Waste-Biomass-Opt::htc::0142,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Kannan et al., 2017b)",htc,Food waste,food_waste,,0.0,1.0,45.33,6.16,13.42,22.32,87.5,86.5,0.73,12.77,250.0,560.0,49.2,32.44,71.2,66.55
